City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,inirida,3.8653,-67.9239,24.37,96,100,0.77,CO,1684891330
286,karukh,34.4811,62.5863,19.34,35,0,4.18,AF,1684891330
287,konduga,11.6558,13.4213,28.26,61,27,4.46,NG,1684891330
288,iwon-up,40.3231,128.6553,20.45,46,28,3.12,KP,1684891330
289,vilyuchinsk,52.9306,158.4028,11.15,92,100,2.65,RU,1684891330
290,kamaishi,39.2667,141.8833,12.99,64,72,5.52,JP,1684891330
291,avarua,-21.2078,-159.775,25.03,65,40,1.54,CK,1684891330
292,sisimiut,66.9395,-53.6735,-1.67,76,100,9.71,GL,1684891330
293,klaksvik,62.2266,-6.589,8.51,76,7,15.57,FO,1684891330
294,mejit,10.2753,170.8646,27.73,80,100,7.67,MH,1684891330
295,san andres,12.5847,-81.7006,27.47,74,95,2.93,CO,1684891330
296,ramhormoz,31.28,49.6035,30.17,14,95,1.4,IR,1684891331
297,skovorodino,53.9833,123.9167,14.62,66,92,0.25,RU,1684891331
298,angaur state,6.906,134.13,27.76,83,100,8.56,PW,1684891331
299,san luis,-33.295,-66.3356,15.26,78,100,3.97,AR,1684891331
300,golfito,8.639,-83.166,25.07,92,100,1.37,CR,1684891314
301,miagao,10.6442,122.2352,29.76,68,97,1.34,PH,1684891331
302,new plymouth,-39.0667,174.0833,17.53,90,15,0.45,NZ,1684891331
303,maua,-23.6678,-46.4614,18.89,80,0,1.19,BR,1684891331
304,vadso,70.0744,29.7487,8.49,87,100,3.09,NO,1684891331
305,salym,60.0625,71.4789,14.36,52,59,1.13,RU,1684891331
306,prince rupert,54.3161,-130.3201,12.05,77,0,8.75,CA,1684891241
307,murzuq,25.9155,13.9184,28.39,14,94,2.99,LY,1684891331
308,mwinilunga,-11.7358,24.4293,14.75,79,5,1.18,ZM,1684891331
309,poronaysk,49.2167,143.1167,9.05,69,0,5.14,RU,1684891331
310,tsevie,6.4261,1.2133,25.18,90,94,1.3,TG,1684891331
311,tripoli,32.8752,13.1875,20.34,65,0,9.35,LY,1684891332
312,golub-dobrzyn,53.1109,19.0538,17.52,60,100,2.21,PL,1684891332
313,afif,23.9065,42.9172,24.51,44,100,5.86,SA,1684891332
314,port alfred,-33.5906,26.891,15.96,56,5,2.0,ZA,1684891332
315,murang'a,-0.7167,37.15,16.34,98,100,0.75,KE,1684891332
316,puerto montt,-41.4698,-72.9447,11.46,66,100,13.89,CL,1684891332
317,serov,59.6033,60.5787,15.13,72,98,1.82,RU,1684891332
318,luau,-10.7073,22.2247,17.39,66,0,1.14,AO,1684891332
319,gamba,-2.65,10.0,24.7,94,77,1.71,GA,1684891332
320,wotho,10.1657,166.0102,28.35,75,100,7.46,MH,1684891332
321,opuwo,-18.0607,13.84,16.35,45,10,0.84,NA,1684891332
322,canutama,-6.5339,-64.3831,23.87,97,95,1.05,BR,1684891332
323,alice springs,-23.7,133.8833,18.75,34,1,3.6,AU,1684891182
324,osakarovka,50.565,72.5692,12.89,51,0,2.1,KZ,1684891333
325,bhisho,-32.8472,27.4422,11.62,50,21,2.41,ZA,1684891333
326,ntungamo,-0.8833,29.65,17.4,87,9,1.38,UG,1684891333
327,kerikeri,-35.2268,173.9474,17.6,67,0,4.55,NZ,1684891333
328,mar del plata,-38.0023,-57.5575,17.83,98,75,1.54,AR,1684891333
329,broome,42.2506,-75.833,17.6,78,3,1.86,US,1684891333
330,ylitornio,66.3089,23.6773,6.35,93,100,2.4,FI,1684891333
331,berezovyy,51.6667,135.7,19.42,51,100,1.51,RU,1684891333
332,fort st. john,56.2499,-120.8529,6.94,81,100,1.03,CA,1684891333
333,ivdel',60.6911,60.4206,14.23,71,100,0.69,RU,1684891333
334,al hazm,16.1641,44.7769,24.45,52,73,3.1,YE,1684891333
335,badger,64.8,-147.5333,20.21,29,0,1.54,US,1684891333
336,hoemul-li,41.4339,129.67,18.58,49,0,2.53,KP,1684891333
337,elko,41.0002,-115.5012,15.01,81,100,3.13,US,1684891334
338,qingyang,37.4958,121.2581,23.79,27,100,4.82,CN,1684891334
339,biharamulo,-2.6319,31.3089,15.79,95,30,0.87,TZ,1684891334
340,daru,-9.0763,143.2092,26.96,76,92,7.56,PG,1684891334
341,mount isa,-20.7333,139.5,23.87,33,0,7.2,AU,1684891334
342,morondava,-20.2833,44.2833,20.56,66,99,4.54,MG,1684891334
343,cidade velha,14.9167,-23.6167,22.26,78,40,6.69,CV,1684891334
344,maputo,-25.9653,32.5892,17.9,83,93,1.79,MZ,1684891334
345,bonbeach,-38.0653,145.1228,16.19,62,97,4.92,AU,1684891334
346,ghat,24.9647,10.1728,28.36,16,53,1.35,LY,1684891334
347,shalqar,47.8333,59.6,17.49,41,11,4.62,KZ,1684891334
348,mayahi,13.9553,7.6712,30.98,43,100,3.82,NE,1684891334
349,sungai penuh,-2.0833,101.3833,21.17,85,9,0.27,ID,1684891334
350,ourense,42.3333,-7.85,11.7,96,8,1.14,ES,1684891335
351,antsiranana,-12.2787,49.2917,22.36,91,97,1.47,MG,1684891335
352,lobujya,27.95,86.8167,-4.42,77,63,1.73,NP,1684891335
353,bayganin,48.6947,55.8742,15.45,43,7,5.05,KZ,1684891335
354,puerto santa,-8.9906,-78.6456,22.19,87,96,4.51,PE,1684891335
355,sunne,59.8376,13.143,10.18,97,26,1.89,SE,1684891335
356,pangody,65.85,74.4859,3.39,65,44,1.3,RU,1684891335
357,princeton,25.5384,-80.4089,28.34,87,75,1.54,US,1684890752
358,emerald,-23.5333,148.1667,23.52,32,0,4.05,AU,1684891310
359,ust'-kut,56.7938,105.7672,6.44,87,100,2.04,RU,1684891335
360,la passe,45.5549,-0.8967,15.13,79,0,7.6,FR,1684891335
361,talnakh,69.4865,88.3972,0.67,92,48,4.34,RU,1684891335
362,sinjar,36.3209,41.8754,23.72,34,100,3.09,IQ,1684891335
363,aral,40.5156,81.2636,21.59,21,100,6.89,CN,1684891335
